id,year,name
0000008,1894,Edison Kinetoscopic Record of a Sneeze
0000091,1896,Le manoir du diable
0000417,1902,Le voyage dans la lune
0000628,1908,The  s of Dollie
0000833,1909,The Country Doctor
0001223,1910,Frankenstein
0001740,1911,The Lonedale Operator
0002101,1912,Cleopatra
0002130,1911,Linferno
0002844,1913,Fantmas - lombre de la guillotine
0004099,1914,His Majesty  the Scarecrow of Oz
0004936,1915,The Bank
0004972,1915,The Birth of a Nation
0005078,1915,The Cheat
0005530,1915,Lhrosme de Paddy
0006684,1916,The Fireman
0006689,1916,The Floorwalker
0007264,1916,The Rink
0007880,1917,Easy Street
0008133,1917,The Immigrant
0008395,1918,Otets Sergiy
0009018,1918,A Dogs Life
0009968,1919,Broken Blossoms or The Yellow Man and the Girl
0010247,1919,Herr Arnes pengar
0010323,1920,Das Cabinet des Dr. Caligari
0011267,1920,Headin Home
0011508,1920,Neighbors
0011541,1920,One Week
0011607,1920,Prstnkan
0011717,1920,The Son of Tarzan
0012278,1921,The High Sign
0012349,1921,The Kid
0012364,1921,K”rkarlen
0012651,1921,Schloб Vogeloed
0013025,1922,Cops
0013086,1922,Dr. Mabuse  der Spieler - Ein Bild der Zeit
0013257,1922,Hxan
0013427,1922,Nanook of the North
0013442,1922,Nosferatu  eine Symphonie des Grauens
0014142,1923,The Hunchback of Notre Dame
0014341,1923,Our Hospitality
0014429,1923,Safety Last
0014538,1923,Three Ages
0014624,1923,A Woman of Paris A   of Fate
0014872,1924,Entracte
0014972,1924,He Who Gets Slapped
0015002,1924,Hot Water
0015064,1924,Der letzte Mann
0015163,1924,The Navigator
0015174,1924,Die Nibelungen Kriemhilds Rache
0015175,1924,Die Nibelungen Siegfried
0015324,1924,Sherlock Jr.
0015361,1925,Stachka
0015400,1924,The Thief of Bagdad
0015532,1926,Die Abenteuer des Prinzen Achmed
0015624,1925,The Big Parade
0015648,1925,Bronenosets Potyomkin
0015864,1925,The Gold Rush
0015881,1924,Greed
0016172,1925,Oh Doctor
0016220,1925,The Phantom of the Opera
0016230,1925,The Pleasure Garden
0016332,1925,Seven Chances
0016600,1926,Along Came Auntie
0016847,1926,Faust - Eine deutsche Volkssage
0016903,1926,45 Minutes from Hollywood
0017075,1927,The Lodger A Story of the London Fog
0017136,1927,Metropolis
0017196,1926,Nana
0017350,1926,The Scarlet Letter
0017463,1926,3 Bad Men
0017729,1927,Call of the Cuckoo
0017765,1927,College
0017825,1927,Downhill
0017836,1927,Duck Soup
0017843,1928,Easy Virtue
0017925,1926,The General
0018033,1927,It
0018037,1927,The Jazz Singer
0018106,1927,Love Em and Weep
0018217,1928,Oktyabr
0018328,1927,The Ring
0018368,1927,The Second 100 Years
0018452,1927,Sugar Daddies
0018455,1927,Sunrise A Song of Two Humans
0018528,1927,The Unknown
0018578,1927,Wings
0018583,1927,With Love and Hisses
0018737,1929,Die BЃchse der Pandora
0018742,1928,The Cameraman
0018773,1928,The Circus
0018806,1928,The Crowd
0018860,1928,Early to Bed
0018876,1928,The Farmers Wife
0018890,1928,The Finishing Touch
0019109,1928,Lonesome
0019130,1928,The Man Who Laughs
0019195,1928,The Mysterious Lady
0019254,1928,La passion de Jeanne dArc
0019344,1928,Sadie Thompson
0019376,1928,Should Married Men Go Home?
0019421,1928,Steamboat Bill  Jr.
0019422,1928,Steamboat Willie
0019429,1928,Street Angel
0019465,1928,Their Purple Moment
0019509,1928,Underground
0019556,1928,We Faw Down
0019585,1928,The Wind
0019607,1928,Youre Darn Tootin
0019686,1929,Berth Marks
0019688,1929,Big Business
0019702,1929,Blackmail
0019729,1929,The Broadway Melody
0019760,1929,Chelovek s kino-apparatom
0019777,1929,The Cocoanuts
0019832,1929,Double Whoopee
0019901,1929,Frau im Mond
0019999,1929,The Hoose-Gow
0020030,1929,The Iron Mask
0020475,1929,Tagebuch einer Verlorenen
0020487,1929,Thats My Wife
0020489,1929,They Go Boom
0020530,1929,Un chien andalou
0020531,1929,Unaccustomed As We Are
0020572,1929,Welcome Danger
0020581,1929,Where East Is East
0020629,1930,All Quiet on the  Front
0020641,1930,Anna Christie
0020678,1930,Below Zero
0020686,1930,The Big House
0020693,1930,Billy the Kid
0020697,1930,Der blaue Engel
0020698,1930,Blotto
0020708,1930,Brats
0020768,1930,City Girl
0020902,1930,Free and Easy
0020960,1930,Hells Angels
0020980,1930,Hogaraka ni ayume
0021054,1930,The Laurel-Hardy Murder Case
0021079,1931,Little Caesar
0021156,1930,Morocco
0021165,1930,Murder
0021182,1930,Night Owls
0021283,1930,Rakudai wa shitakeredo
0021331,1932,Le sang dun poЉte
0021406,1930,Sono yo no tsuma
0021409,1930,Sous les toits de Paris
0021576,1930,? propos de Nice
0021577,1930,Lѓge dor
0021738,1931,Chickens Come Home-
0021746,1931,Cimarron
0021749,1931,City Lights
0021755,1931,Come Clean
0021814,1931,Dracula
0021884,1931,Frankenstein
0021885,1931,A Free Soul
0022048,1931,Shukujo to hige
0022058,1931,Laughing Gravy
0022080,1931,Limite
0022100,1931,M
0022125,1931,Marius
0022150,1931,Le million
0022158,1931,Monkey Business
0022251,1931,Pardon Us
0022279,1931,Private Lives
0022286,1931,The Public Enemy
0022395,1931,The Skin Game
0022403,1931,Smart Money
0022458,1931,Tabu A Story of the South Seas
0022462,1931,Taris  roi de leau
0022782,1932,County Hospital
0022792,1932,The Crowd Roars
0022817,1930,The Devils Cabaret
0022834,1932,Downstairs
0022883,1933,The Fatal Glass of Beer
0022913,1932,Freaks
0022958,1932,Grand Hotel
0022981,1932,Haunted Gold
0022991,1932,Hells House
0022994,1932,Helpmates
0023027,1932,Horse Feathers
0023158,1932,Love Me Tonight
0023194,1932,The Mask of Fu Manchu
0023238,1932,The Most Dangerous Game
0023245,1932,The Mummy
0023249,1932,Murders in the Rue Morgue
0023251,1932,The  Box
0023266,1932,Night After Night
0023285,1932,Number Seventeen
0023300,1931,On the Loose
0023303,1932,One Hour with You
0023305,1932,One Way Passage
0023349,1932,Polly of the Circus
0023395,1931,Rich and Strange
0023427,1932,Scarface
0023439,1932,Scram
0023563,1933,Das Testament des Dr. Mabuse
0023613,1932,Towed in a Hole
0023634,1932,Otona no miru ehon - Umarete wa mita keredo
0023640,1932,Unheimliche Geschichten
0023642,1932,Union Depot
0023649,1932,Vampyr
0023685,1932,The Wet Parade
0023686,1932,What Price Hollywood?
0023694,1932,White Zombie
0023753,1933,Alice in Wonderland
0023775,1933,Baby Face
0023817,1933,Blondie Johnson
0023848,1933,Broadway to Hollywood
0023858,1933,Busy Bodies
0023876,1933,Cavalcade
0023902,1934,El compadre Mendoza
0023937,1933,Dekigokoro
0023948,1933,Dinner at Eight
0023950,1933,Dirty Work
0023969,1933,Duck Soup
0024034,1933,42nd Street
0024069,1933,Gold Diggers of 1933
0024092,1933,Havana Widows
0024120,1933,Hijsen no onna
0024124,1933,His Private Secretary
0024166,1933,Im No Angel
0024184,1933,The Invisible Man
0024188,1932,Island of Lost Souls
0024216,1933,King Kong
0024252,1933,Liebelei
0024264,1933,Little Women
0024316,1933,Me and My Pal
0024353,1933,Morning Glory
0024481,1933,Queen Christina
0024548,1933,She Done Him Wrong
0024554,1933,A Shriek in the Night
0024601,1933,Sons of the Desert
0024660,1933,Three Little Pigs
0024747,1934,Waltzes from Vienna
0024803,1933,Z‚ro de conduite Jeunes diables au collЉge
0024831,1934,Anne of Green Gables
0024844,1934,LAtalante
0024894,1934,The Black Cat
0024914,1934,Bright Eyes
0025004,1934,The Count of Monte Cristo
0025132,1934,Forsaking All Others
0025263,1934,Hollywood Party
0025290,1934,Ive Got Your Number
0025301,1934,Imitation of Life
0025316,1934,It Happened One Night
0025318,1934,Its a Gift
0025330,1934,Jimmy the Gent
0025409,1934,The Little Minister
0025452,1934,The Man Who Knew Too Much
0025456,1934,Man of Aran
0025461,1934,Mandalay
0025464,1934,Manhattan Melo
0025494,1934,Merry Wives of Reno
0025586,1934,Of Human Bondage
0025590,1934,The Old Fashioned Way
0025591,1934,Oliver the Eighth
